Nombre;Cuenta de ingresos/Código;Precio de lista;Precio de costo;Tipo;Producto de precio independiente de la cantidad;Categoria/Nombre;UdM por defecto/Nombre;Vendible;Comprable;Consumible;Impuestos de cliente/Nombre;Iva;IIBB;AP;TipoCargo;TipoProducto
Recargo por Exceso de Potencia Pico T3MT (> 300);421110;1;1;service;;Servicios de Energía;Kilowatts;True;False;;Ley 11769-Art. 74-Prov. 0,6%#Ley 11769-Art. 75-Mun. 6,00%#Ley 11769-FPCT T3 3%#Ley 23681-Fesp.Sta.Cruz 0,6%;True;True;True;Variable;Cargos
Recargo por Exceso de Potencia Resto T3MT (> 300);421110;1;1;service;;Servicios de Energía;Kilowatts;True;False;;Ley 11769-Art. 74-Prov. 0,6%#Ley 11769-Art. 75-Mun. 6,00%#Ley 11769-FPCT T3 3%#Ley 23681-Fesp.Sta.Cruz 0,6%;True;True;True;Variable;Cargos
Recargo por Bajo Coseno de Fi T3MT (> 300);421110;1;1;service;;Servicios de Energía;Kilowatts;True;False;;Ley 11769-Art. 74-Prov. 0,6%#Ley 11769-Art. 75-Mun. 6,00%#Ley 11769-FPCT T3 3%#Ley 23681-Fesp.Sta.Cruz 0,6%;True;True;True;Variable;Cargos
Cargo Perdida Transformador T3MT (> 300);421110;1;1;service;;Servicios de Energía;Kilowatts;True;False;;Ley 11769-Art. 74-Prov. 0,6%#Ley 11769-Art. 75-Mun. 6,00%#Ley 11769-FPCT T3 3%#Ley 23681-Fesp.Sta.Cruz 0,6%;True;True;True;Variable;Cargos
RES MI 206/13 T3MT (> 300);421110;1;1;service;True;Servicios de Energía;Unidad;True;False;;Ley 11769-Art. 74-Prov. 0,6%#Ley 11769-Art. 75-Mun. 6,00%#Ley 11769-FPCT T3 3%#Ley 23681-Fesp.Sta.Cruz 0,6%;True;True;True;Variable;Cargos
Incremento Costo Mayorista Pico T3MT (> 300);421110;1;1;service;;Servicios de Energía;Kilowatts;True;False;;Ley 11769-Art. 74-Prov. 0,6%#Ley 11769-Art. 75-Mun. 6,00%#Ley 11769-FPCT T3 3%#Ley 23681-Fesp.Sta.Cruz 0,6%;True;True;True;Variable;Cargos
Incremento Costo Mayorista Valle T3MT (> 300);421110;1;1;service;;Servicios de Energía;Kilowatts;True;False;;Ley 11769-Art. 74-Prov. 0,6%#Ley 11769-Art. 75-Mun. 6,00%#Ley 11769-FPCT T3 3%#Ley 23681-Fesp.Sta.Cruz 0,6%;True;True;True;Variable;Cargos
Incremento Costo Mayorista Resto T3MT (> 300);421110;1;1;service;;Servicios de Energía;Kilowatts;True;False;;Ley 11769-Art. 74-Prov. 0,6%#Ley 11769-Art. 75-Mun. 6,00%#Ley 11769-FPCT T3 3%#Ley 23681-Fesp.Sta.Cruz 0,6%;True;True;True;Variable;Cargos
Cargo Variable Pico T3MT Sin Subsidio (> 300);421110;1;1;service;;Servicios de Energía;Kilowatts;True;False;;;False;False;False;Variable;Cargos
Cargo Variable Valle T3MT Sin Subsidio (> 300);421110;1;1;service;;Servicios de Energía;Kilowatts;True;False;;;False;False;False;Variable;Cargos
Cargo Variable Resto T3MT Sin Subsidio (> 300);421110;1;1;service;;Servicios de Energía;Kilowatts;True;False;;;False;False;False;Variable;Cargos
