Nombre;Líneas/Category/Nombre;Líneas/Producto/Nombre;Líneas/Cantidad;Líneas/Fórmula;Líneas/Secuencia
T1GAC Servicio General Alto Consumo;Servicios de Energía;Cargo Variable T1GAC;2001.0;unit_price*0.3784;2
T1GAC Servicio General Alto Consumo;Servicios de Energía;Cargo Variable T1GAC;1001.0;unit_price*0.3663;3
T1GAC Servicio General Alto Consumo;Servicios de Energía;Incremento Costo Mayorista T1GAC;2001.0;unit_price*0.0538;4
T1GAC Servicio General Alto Consumo;Servicios de Energía;Incremento Costo Mayorista T1GAC;1001.0;unit_price*0.0493;5
T1GAC Servicio General Alto Consumo;Servicios de Energía;RES MI 206/13 T1GAC;2001.0;unit_price*130.00;6
T1GAC Servicio General Alto Consumo;Servicios de Energía;RES MI 206/13 T1GAC;1001.0;unit_price*75.00;7
T1GAC Servicio General Alto Consumo;Servicios de Energía;Cargo Perdida Transformador T1GAC;;unit_price*0.3784;8
T1GAC Servicio General Alto Consumo;Servicios de Energía;Cargo Variable T1GAC Sin Subsidio;2001.0;unit_price*0.6594;9
T1GAC Servicio General Alto Consumo;Servicios de Energía;Cargo Variable T1GAC Sin Subsidio;1001.0;unit_price*0.6575;10
T1GAC Servicio General Alto Consumo;Servicios de Energía;Cargo Perdida Transformador T1GAC Sin Subsidio;;unit_price*0.6594;11
T1GAC Servicio General Alto Consumo;Servicios de Energía;Resta Cargo Variable T1GAC Sin Subsidio;2001.0;unit_price*-0.6594;12
T1GAC Servicio General Alto Consumo;Servicios de Energía;Resta Cargo Variable T1GAC Sin Subsidio;1001.0;unit_price*-0.6575;13
T1GAC Servicio General Alto Consumo;Servicios de Energía;Resta Cargo Perdida Transformador T1GAC Sin Subsidio;;unit_price*-0.6594;14
T1GAC Servicio General Alto Consumo;Servicios de Energía;Conexión Aerea-Monofasica T1GAC;;unit_price*141.4050;15
T1GAC Servicio General Alto Consumo;Servicios de Energía;Conexión Aerea-Trifasica T1GAC;;unit_price*430.4550;16
T1GAC Servicio General Alto Consumo;Servicios de Energía;Conexión Subterranea-Monofasica T1GAC;;unit_price*430.4550;17
T1GAC Servicio General Alto Consumo;Servicios de Energía;Conexión Subterranea-Trifasica T1GAC;;unit_price*570.3450;18
T1GAC Servicio General Alto Consumo;Servicios de Energía;Rehabilitacion T1GAC;;unit_price*74.7150;19
T1GAC Servicio General Alto Consumo;Servicios de Energía;Desconexion Directa T1GAC;;unit_price*74.7150;20
T1GAC Servicio General Alto Consumo;Servicios de Energía;Plan Municipal de AP Ord. 3000/10;;unit_price*15.00;21
T1GAC Servicio General Alto Consumo;Servicios de Energía;Res. Asamblea 30/12/04 T1GAC Cuota Capital ;;unit_price*180.00;22
T1GAC Servicio General Alto Consumo;Servicios de Energía;Cuota Extraordinaria Dec 3142/07 - Resolución 604/07 T1GAC;;unit_price*10.00;23
T1R Residencial Social;Servicios de Energía;Cargo Fijo 2 TIS;101.0;unit_price*5.37;1
T1R Residencial Social;Servicios de Energía;Cargo Fijo 1 TIS;;unit_price*2.6850;2
T1R Residencial Social;Servicios de Energía;Cargo Variable TIS;1401.0;unit_price*0.5952;3
T1R Residencial Social;Servicios de Energía;Cargo Variable TIS;701.0;unit_price*0.4622;4
T1R Residencial Social;Servicios de Energía;Cargo Variable TIS;501.0;unit_price*0.3905;5
T1R Residencial Social;Servicios de Energía;Cargo Variable TIS;401.0;unit_price*0.3194;6
T1R Residencial Social;Servicios de Energía;Cargo Variable TIS;201.0;unit_price*0.2886;7
T1R Residencial Social;Servicios de Energía;Cargo Variable TIS;101.0;unit_price*0.2503;8
T1R Residencial Social;Servicios de Energía;Cargo Variable TIS;71.0;unit_price*0.2090;9
T1R Residencial Social;Servicios de Energía;Cargo Variable TIS;;unit_price*0.1045;10
T1R Residencial Social;Servicios de Energía;Cargo Variable TIS Sin Subsidio;1401.0;unit_price*0.7867;11
T1R Residencial Social;Servicios de Energía;Cargo Variable TIS Sin Subsidio;701.0;unit_price*0.7214;12
T1R Residencial Social;Servicios de Energía;Cargo Variable TIS Sin Subsidio;501.0;unit_price*0.6823;13
T1R Residencial Social;Servicios de Energía;Cargo Variable TIS Sin Subsidio;401.0;unit_price*0.6451;14
T1R Residencial Social;Servicios de Energía;Cargo Variable TIS Sin Subsidio;201.0;unit_price*0.6143;15
T1R Residencial Social;Servicios de Energía;Cargo Variable TIS Sin Subsidio;101.0;unit_price*0.5760;16
T1R Residencial Social;Servicios de Energía;Cargo Variable TIS Sin Subsidio;71.0;unit_price*0.5347;17
T1R Residencial Social;Servicios de Energía;Cargo Variable TIS Sin Subsidio;;unit_price*0.2673;18
T1R Residencial Social;Servicios de Energía;Resta Cargo Variable TIS Sin Subsidio;1401.0;unit_price*-0.7867;19
T1R Residencial Social;Servicios de Energía;Resta Cargo Variable TIS Sin Subsidio;701.0;unit_price*-0.7214;20
T1R Residencial Social;Servicios de Energía;Resta Cargo Variable TIS Sin Subsidio;501.0;unit_price*-0.6823;21
T1R Residencial Social;Servicios de Energía;Resta Cargo Variable TIS Sin Subsidio;401.0;unit_price*-0.6451;22
T1R Residencial Social;Servicios de Energía;Resta Cargo Variable TIS Sin Subsidio;201.0;unit_price*-0.6143;23
T1R Residencial Social;Servicios de Energía;Resta Cargo Variable TIS Sin Subsidio;101.0;unit_price*-0.5760;24
T1R Residencial Social;Servicios de Energía;Resta Cargo Variable TIS Sin Subsidio;71.0;unit_price*-0.5347;25
T1R Residencial Social;Servicios de Energía;Resta Cargo Variable TIS Sin Subsidio;;unit_price*-0.2673;26
T1R Residencial Social;Servicios de Energía;Conexión Aerea-Monofasica TIS;;unit_price*88.1550;27
T1R Residencial Social;Servicios de Energía;Rehabilitacion TIS;;unit_price*12.66;28
T1R Residencial Social;Servicios de Energía;Desconexion Directa TIS;;unit_price*12.66;29
T1R Residencial Social;Servicios de Energía;Res. Asamblea 30/12/04 TIS Cuota Capital ;;unit_price*25.00;30
T1R Residencial Social;Servicios de Energía;Cuota Extraordinaria Dec 3142/07 - Resolución 604/07 TIS;;unit_price*5.00;31
T2BT Baja Tension;Servicios de Energía;Cargo Fijo T2BT;;unit_price*133.66;1
T2BT Baja Tension;Servicios de Energía;Cargo Potencia en Pico T2BT;;unit_price*35.72;2
T2BT Baja Tension;Servicios de Energía;Cargo Potencia Fuera de Pico T2BT;;unit_price*15.31;3
T2BT Baja Tension;Servicios de Energía;Recargo por Exceso de Potencia en Pico T2BT;;unit_price*53.58;4
T2BT Baja Tension;Servicios de Energía;Recargo por Exceso de Potencia Fuera Pico T2BT;;unit_price*22.97;5
T2BT Baja Tension;Servicios de Energía;Cargo Variable por Energia Demandada En Pico T2BT;;unit_price*0.1156;6
T2BT Baja Tension;Servicios de Energía;Cargo Variable por Energia Demandada Fuera de Pico T2BT;;unit_price*0.1081;7
T2BT Baja Tension;Servicios de Energía;Recargo por Bajo Coseno de Fi T2BT;;unit_price*0.0320;8
T2BT Baja Tension;Servicios de Energía;Cargo Perdida Transformador T2BT;;unit_price*0.1081;9
T2BT Baja Tension;Servicios de Energía;RES MI 206/13 T2BT;;unit_price*8.00;10
T2BT Baja Tension;Servicios de Energía;Incremento Costo Mayorista Pico T2BT;;unit_price*0.0448;11
T2BT Baja Tension;Servicios de Energía;Incremento Costo Mayorista Fuera de Pico T2BT;;unit_price*0.0448;12
T2BT Baja Tension;Servicios de Energía;Cargo Potencia en Pico T2BT Sin Subsidio;;unit_price*35.75;13
T2BT Baja Tension;Servicios de Energía;Cargo Potencia Fuera de Pico T2BT Sin Subsidio;;unit_price*15.32;14
T2BT Baja Tension;Servicios de Energía;Recargo por Exceso de Potencia en Pico T2BT Sin Subsidio;;unit_price*53.62;15
T2BT Baja Tension;Servicios de Energía;Recargo por Exceso de Potencia Fuera Pico T2BT Sin Subsidio;;unit_price*22.98;16
T2BT Baja Tension;Servicios de Energía;Cargo Variable por Energia Demandada En Pico T2BT Sin Subsidio;;unit_price*0.3744;17
T2BT Baja Tension;Servicios de Energía;Cargo Variable por Energia Demandada Fuera de Pico T2BT Sin Subsidio;;unit_price*0.3680;18
T2BT Baja Tension;Servicios de Energía;Recargo por Bajo Coseno de Fi T2BT Sin Subsidio;;unit_price*0.0320;19
T2BT Baja Tension;Servicios de Energía;Cargo Perdida Transformador T2BT Sin Subsidio;;unit_price*0.3680;20
T2BT Baja Tension;Servicios de Energía;Resta Cargo Potencia en Pico T2BT Sin Subsidio;;unit_price*-35.75;21
T2BT Baja Tension;Servicios de Energía;Resta Cargo Potencia Fuera de Pico T2BT Sin Subsidio;;unit_price*-15.32;22
T2BT Baja Tension;Servicios de Energía;Resta Recargo por Exceso de Potencia en Pico T2BT Sin Subsidio;;unit_price*-53.62;23
T2BT Baja Tension;Servicios de Energía;Resta Recargo por Exceso de Potencia Fuera Pico T2BT Sin Subsidio;;unit_price*-22.98;24
T2BT Baja Tension;Servicios de Energía;Resta Cargo Variable por Energia Demandada En Pico T2BT Sin Subsidio;;unit_price*-0.3744;25
T2BT Baja Tension;Servicios de Energía;Resta Cargo Variable por Energia Demandada Fuera de Pico T2BT Sin Subsidio;;unit_price*-0.3680;26
T2BT Baja Tension;Servicios de Energía;Resta Recargo por Bajo Coseno de Fi T2BT Sin Subsidio;;unit_price*-0.0320;27
T2BT Baja Tension;Servicios de Energía;Resta Cargo Perdida Transformador T2BT Sin Subsidio;;unit_price*-0.3680;28
T2BT Baja Tension;Servicios de Energía;Res. Asamblea 30/12/04 T2BT Cuota Capital;;unit_price*848.86;29
T2BT Baja Tension;Servicios de Energía;Plan Municipal de AP Ord. 3000/10;;unit_price*15.00;30
T2BT Baja Tension;Servicios de Energía;Cuota Extraordinaria Dec 3142/07 - Resolución 604/07 T2BT;;unit_price*10.00;31
T2BT Baja Tension;Servicios de Energía;Conexión Aerea-Monofasica T2BT;;unit_price*0;32
T2BT Baja Tension;Servicios de Energía;Conexión Aerea-Trifasica T2BT;;unit_price*646.65;33
T2BT Baja Tension;Servicios de Energía;Conexión Subterranea-Monofasica T2BT;;unit_price*0;34
T2BT Baja Tension;Servicios de Energía;Conexión Subterranea-Trifasica T2BT;;unit_price*916.950;35
T2BT Baja Tension;Servicios de Energía;Rehabilitacion T2BT;;unit_price*183.6450;36
T2BT Baja Tension;Servicios de Energía;Desconexion Directa T2BT;;unit_price*183.6450;37
T2MT Media Tension;Servicios de Energía;Cargo Fijo T2MT;;unit_price*202.52;1
T2MT Media Tension;Servicios de Energía;Cargo Potencia en Pico T2MT;;unit_price*26.07;2
T2MT Media Tension;Servicios de Energía;Cargo Potencia Fuera de Pico T2MT;;unit_price*11.17;3
T2MT Media Tension;Servicios de Energía;Recargo por Exceso de Potencia en Pico T2MT;;unit_price*39.1050;4
T2MT Media Tension;Servicios de Energía;Recargo por Exceso de Potencia Fuera Pico T2MT;;unit_price*16.7550;5
T2MT Media Tension;Servicios de Energía;Cargo Variable por Energia Demandada En Pico T2MT;;unit_price*0.1141;6
T2MT Media Tension;Servicios de Energía;Cargo Variable por Energia Demandada Fuera de Pico T2MT;;unit_price*0.1063;7
T2MT Media Tension;Servicios de Energía;Recargo por Bajo Coseno de Fi T2MT;;unit_price*0.0320;8
T2MT Media Tension;Servicios de Energía;Cargo Perdida Transformador T2MT;;unit_price*0.1063;9
T2MT Media Tension;Servicios de Energía;RES MI 206/13 T2MT;;unit_price*8.00;10
T2MT Media Tension;Servicios de Energía;Incremento Costo Mayorista Pico T2MT;;unit_price*0.0508;11
T2MT Media Tension;Servicios de Energía;Incremento Costo Mayorista Fuera de Pico T2MT;;unit_price*0.0508;12
T2MT Media Tension;Servicios de Energía;Cargo Potencia en Pico T2MT Sin Subsidio;;unit_price*26.09;13
T2MT Media Tension;Servicios de Energía;Cargo Potencia Fuera de Pico T2MT Sin Subsidio;;unit_price*11.18;14
T2MT Media Tension;Servicios de Energía;Recargo por Exceso de Potencia en Pico T2MT Sin Subsidio;;unit_price*39.13;15
T2MT Media Tension;Servicios de Energía;Recargo por Exceso de Potencia Fuera Pico T2MT Sin Subsidio;;unit_price*16.77;16
T2MT Media Tension;Servicios de Energía;Cargo Variable por Energia Demandada En Pico T2MT Sin Subsidio;;unit_price*0.3674;17
T2MT Media Tension;Servicios de Energía;Cargo Variable por Energia Demandada Fuera de Pico T2MT Sin Subsidio;;unit_price*0.3606;18
T2MT Media Tension;Servicios de Energía;Recargo por Bajo Coseno de Fi T2MT Sin Subsidio;;unit_price*0.0320;19
T2MT Media Tension;Servicios de Energía;Cargo Perdida Transformador T2MT Sin Subsidio;;unit_price*0.3606;20
T2MT Media Tension;Servicios de Energía;Resta Cargo Potencia en Pico T2MT Sin Subsidio;;unit_price*-26.09;21
T2MT Media Tension;Servicios de Energía;Resta Cargo Potencia Fuera de Pico T2MT Sin Subsidio;;unit_price*-11.18;22
T2MT Media Tension;Servicios de Energía;Resta Recargo por Exceso de Potencia en Pico T2MT Sin Subsidio;;unit_price*-39.13;23
T2MT Media Tension;Servicios de Energía;Resta Recargo por Exceso de Potencia Fuera Pico T2MT Sin Subsidio;;unit_price*-16.77;24
T2MT Media Tension;Servicios de Energía;Resta Cargo Variable por Energia Demandada En Pico T2MT Sin Subsidio;;unit_price*-0.3674;25
T2MT Media Tension;Servicios de Energía;Resta Cargo Variable por Energia Demandada Fuera de Pico T2MT Sin Subsidio;;unit_price*-0.3606;26
T2MT Media Tension;Servicios de Energía;Resta Recargo por Bajo Coseno de Fi T2MT Sin Subsidio;;unit_price*-0.0320;27
T2MT Media Tension;Servicios de Energía;Resta Cargo Perdida Transformador T2MT Sin Subsidio;;unit_price*-0.3606;28
T2MT Media Tension;Servicios de Energía;Res. Asamblea 30/12/04 T2MT Cuota Capital;;unit_price*352.82;29
T2MT Media Tension;Servicios de Energía;Plan Municipal de AP Ord. 3000/10;;unit_price*15.00;30
T2MT Media Tension;Servicios de Energía;Cuota Extraordinaria Dec 3142/07 - Resolución 604/07 T2MT;;unit_price*10.00;31
T2MT Media Tension;Servicios de Energía;Conexión Aerea-Monofasica T2MT;;unit_price*0;32
T2MT Media Tension;Servicios de Energía;Conexión Aerea-Trifasica T2MT;;unit_price*646.65;33
T2MT Media Tension;Servicios de Energía;Conexión Subterranea-Monofasica T2MT;;unit_price*0;34
T2MT Media Tension;Servicios de Energía;Conexión Subterranea-Trifasica T2MT;;unit_price*916.950;35
T2MT Media Tension;Servicios de Energía;Rehabilitacion T2MT;;unit_price*183.6450;36
T2MT Media Tension;Servicios de Energía;Desconexion Directa T2MT;;unit_price*183.6450;37
T3BT Baja Tension (50 a 300KW);Servicios de Energía;Cargo Fijo T3BT;;unit_price*129.64;1
T3BT Baja Tension (50 a 300KW);Servicios de Energía;Cargo Variable Pico T3BT;;unit_price*0.1021;2
T3BT Baja Tension (50 a 300KW);Servicios de Energía;Cargo Variable Valle T3BT;;unit_price*0.0928;3
T3BT Baja Tension (50 a 300KW);Servicios de Energía;Cargo Variable Resto T3BT;;unit_price*0.0949;4
T3BT Baja Tension (50 a 300KW);Servicios de Energía;Cargo Potencia Pico T3BT;;unit_price*47.49;5
T3BT Baja Tension (50 a 300KW);Servicios de Energía;Cargo Potencia Resto T3BT;;unit_price*20.35;6
T3BT Baja Tension (50 a 300KW);Servicios de Energía;Recargo por Exceso de Potencia Pico T3BT;;unit_price*71.23;7
T3BT Baja Tension (50 a 300KW);Servicios de Energía;Recargo por Exceso de Potencia Resto T3BT;;unit_price*30.52;8
T3BT Baja Tension (50 a 300KW);Servicios de Energía;Recargo por Bajo Coseno de Fi T3BT;;unit_price*0.0320;9
T3BT Baja Tension (50 a 300KW);Servicios de Energía;Cargo Perdida Transformador T3BT;;unit_price*0.0928;10
T3BT Baja Tension (50 a 300KW);Servicios de Energía;RES MI 206/13 T3BT;;unit_price*8.00;11
T3BT Baja Tension (50 a 300KW);Servicios de Energía;Incremento Costo Mayorista Pico T3BT;;unit_price*0.0533;12
T3BT Baja Tension (50 a 300KW);Servicios de Energía;Incremento Costo Mayorista Valle T3BT;;unit_price*0.0533;13
T3BT Baja Tension (50 a 300KW);Servicios de Energía;Incremento Costo Mayorista Resto T3BT;;unit_price*0.0533;14
T3BT Baja Tension (50 a 300KW);Servicios de Energía;Cargo Variable Pico T3BT Sin Subsidio;;unit_price*0.3609;15
T3BT Baja Tension (50 a 300KW);Servicios de Energía;Cargo Variable Valle T3BT Sin Subsidio;;unit_price*0.3505;16
T3BT Baja Tension (50 a 300KW);Servicios de Energía;Cargo Variable Resto T3BT Sin Subsidio;;unit_price*0.3552;17
T3BT Baja Tension (50 a 300KW);Servicios de Energía;Cargo Potencia Pico T3BT Sin Subsidio;;unit_price*47.52;18
T3BT Baja Tension (50 a 300KW);Servicios de Energía;Cargo Potencia Resto T3BT Sin Subsidio;;unit_price*20.37;19
T3BT Baja Tension (50 a 300KW);Servicios de Energía;Recargo por Exceso de Potencia Pico T3BT Sin Subsidio;;unit_price*71.28;20
T3BT Baja Tension (50 a 300KW);Servicios de Energía;Recargo por Exceso de Potencia Resto T3BT Sin Subsidio;;unit_price*30.55;21
T3BT Baja Tension (50 a 300KW);Servicios de Energía;Recargo por Bajo Coseno de Fi T3BT Sin Subsidio;;unit_price*0.0320;22
T3BT Baja Tension (50 a 300KW);Servicios de Energía;Cargo Perdida Transformador T3BT Sin Subsidio;;unit_price*0.3505;23
T3BT Baja Tension (50 a 300KW);Servicios de Energía;Resta Cargo Variable Pico T3BT Sin Subsidio;;unit_price*-0.3609;24
T3BT Baja Tension (50 a 300KW);Servicios de Energía;Resta Cargo Variable Valle T3BT Sin Subsidio;;unit_price*-0.3505;25
T3BT Baja Tension (50 a 300KW);Servicios de Energía;Resta Cargo Variable Resto T3BT Sin Subsidio;;unit_price*-0.3552;26
T3BT Baja Tension (50 a 300KW);Servicios de Energía;Resta Cargo Potencia Pico T3BT Sin Subsidio;;unit_price*-47.52;27
T3BT Baja Tension (50 a 300KW);Servicios de Energía;Resta Cargo Potencia Resto T3BT Sin Subsidio;;unit_price*-20.37;28
T3BT Baja Tension (50 a 300KW);Servicios de Energía;Resta Recargo por Exceso de Potencia Pico T3BT Sin Subsidio;;unit_price*-71.28;29
T3BT Baja Tension (50 a 300KW);Servicios de Energía;Resta Recargo por Exceso de Potencia Resto T3BT Sin Subsidio;;unit_price*-30.55;30
T3BT Baja Tension (50 a 300KW);Servicios de Energía;Resta Recargo por Bajo Coseno de Fi T3BT Sin Subsidio;;unit_price*-0.0320;31
T3BT Baja Tension (50 a 300KW);Servicios de Energía;Resta Cargo Perdida Transformador T3BT Sin Subsidio;;unit_price*-0.3505;32
T3BT Baja Tension (50 a 300KW);Servicios de Energía;Res. Asamblea 30/12/04 T3BT Cuota Capital;;unit_price*848.86;33
T3BT Baja Tension (50 a 300KW);Servicios de Energía;Plan Municipal de AP Ord. 3000/10;;unit_price*20.00;34
T3BT Baja Tension (50 a 300KW);Servicios de Energía;Cuota Extraordinaria Dec 3142/07 - Resolución 604/07 T3BT;;unit_price*10.00;35
T3BT Baja Tension (50 a 300KW);Servicios de Energía;Conexión Aerea-Monofasica T3BT;;unit_price*0;36
T3BT Baja Tension (50 a 300KW);Servicios de Energía;Conexión Aerea-Trifasica T3BT;;unit_price*969.9750;37
T3BT Baja Tension (50 a 300KW);Servicios de Energía;Conexión Subterranea-Monofasica T3BT;;unit_price*0;38
T3BT Baja Tension (50 a 300KW);Servicios de Energía;Conexión Subterranea-Trifasica T3BT;;unit_price*1379.52;39
T3BT Baja Tension (50 a 300KW);Servicios de Energía;Rehabilitacion T3BT;;unit_price*229.5450;40
T3BT Baja Tension (50 a 300KW);Servicios de Energía;Desconexion Directa T3BT;;unit_price*229.5450;41
T3BT Baja Tension (>300KW);Servicios de Energía;Cargo Fijo T3BT (>300);;unit_price*129.64;1
